ISO date,label,path type,paths,hosts,threads,dirs,files,file size,block size,direct IO,random,random aligned,IO depth,shared paths,truncate,operation,time ms [first],time ms [last],entries/s [first],entries/s [last],IOPS [first],IOPS [last],MiB/s [first],MiB/s [last],CPU% [first],CPU% [last],entries [first],entries [last],MiB [first],MiB [last],Ent lat us [min],Ent lat us [avg],Ent lat us [max],IO lat us [min],IO lat us [avg],IO lat us [max],rwmix read entries/s [first],rwmix read entries/s [last],rwmix read IOPS [first],rwmix read IOPS [last],rwmix read MiB/s [first],rwmix read MiB/s [last],rwmix read entries [first],rwmix read entries [last],rwmix read MiB [first],rwmix read MiB [last],rwmix read Ent lat us [min],rwmix read Ent lat us [avg],rwmix read Ent lat us [max],rwmix read IO lat us [min],rwmix read IO lat us [avg],rwmix read IO lat us [max],version,command
2025-08-05T02:25:55.708-0400,001_SEQUENTIAL__1G_1M_8T_1D__WCX10.1.33,dir,1,1,8,1,1,1073741824,1048576,0,0,,1,,0,MKDIRS,0,0,66666,65573,,,,,0,0,8,8,,,26,31,32,,,,,,,,,,,,,,,,,,,,3.0-29,"/usr/bin/elbencho" "--label" "001_SEQUENTIAL__1G_1M_8T_1D__WCX10.1.33" "--write" "--read" "--trunctosize" "--cpu" "--lat" "--log" "0" "--timelimit" "900" "--no0usecerr" "--dirsharing" "--files" "1" "--dirs" "1" "--mkdirs" "--deldirs" "--delfiles" "--live1" "--livecsvex" "--liveint" "1000" "--iodepth=1" "--threads=8" "--block=1M" "--size=1G" "--csvfile" "/home/spillman/pyprojects/elcrapo/result-logs/20250805/20250805_0225/wcx10.1.33_001_SEQUENTIAL__1G_1M_8T_1D__WCX10.1.33.csv" "--resfile" "/home/spillman/pyprojects/elcrapo/result-logs/20250805/20250805_0225/wcx10.1.33_001_SEQUENTIAL__1G_1M_8T_1D__WCX10.1.33.txt" "--livecsv" "/home/spillman/pyprojects/elcrapo/result-logs/20250805/20250805_0225/wcx10.1.33_001_SEQUENTIAL__1G_1M_8T_1D__WCX10.1.33.live" "/mnt/Drives/12000b/benchmark_tests/data_testing/wcx10.1.33" 
2025-08-05T02:25:55.709-0400,001_SEQUENTIAL__1G_1M_8T_1D__WCX10.1.33,dir,1,1,8,1,1,1073741824,1048576,0,0,,1,,0,WRITE,903,1019,1,7,8305,8033,8305,8033,75,72,1,8,7505,8192,903626,974802,1019668,762,951,1341,,,,,,,,,,,,,,,,,3.0-29,"/usr/bin/elbencho" "--label" "001_SEQUENTIAL__1G_1M_8T_1D__WCX10.1.33" "--write" "--read" "--trunctosize" "--cpu" "--lat" "--log" "0" "--timelimit" "900" "--no0usecerr" "--dirsharing" "--files" "1" "--dirs" "1" "--mkdirs" "--deldirs" "--delfiles" "--live1" "--livecsvex" "--liveint" "1000" "--iodepth=1" "--threads=8" "--block=1M" "--size=1G" "--csvfile" "/home/spillman/pyprojects/elcrapo/result-logs/20250805/20250805_0225/wcx10.1.33_001_SEQUENTIAL__1G_1M_8T_1D__WCX10.1.33.csv" "--resfile" "/home/spillman/pyprojects/elcrapo/result-logs/20250805/20250805_0225/wcx10.1.33_001_SEQUENTIAL__1G_1M_8T_1D__WCX10.1.33.txt" "--livecsv" "/home/spillman/pyprojects/elcrapo/result-logs/20250805/20250805_0225/wcx10.1.33_001_SEQUENTIAL__1G_1M_8T_1D__WCX10.1.33.live" "/mnt/Drives/12000b/benchmark_tests/data_testing/wcx10.1.33" 
2025-08-05T02:25:56.729-0400,001_SEQUENTIAL__1G_1M_8T_1D__WCX10.1.33,dir,1,1,8,1,1,1073741824,1048576,0,0,,1,,0,READ,311,371,3,21,22051,22065,22051,22065,75,70,1,8,6859,8192,311000,344377,371148,75,335,1052,,,,,,,,,,,,,,,,,3.0-29,"/usr/bin/elbencho" "--label" "001_SEQUENTIAL__1G_1M_8T_1D__WCX10.1.33" "--write" "--read" "--trunctosize" "--cpu" "--lat" "--log" "0" "--timelimit" "900" "--no0usecerr" "--dirsharing" "--files" "1" "--dirs" "1" "--mkdirs" "--deldirs" "--delfiles" "--live1" "--livecsvex" "--liveint" "1000" "--iodepth=1" "--threads=8" "--block=1M" "--size=1G" "--csvfile" "/home/spillman/pyprojects/elcrapo/result-logs/20250805/20250805_0225/wcx10.1.33_001_SEQUENTIAL__1G_1M_8T_1D__WCX10.1.33.csv" "--resfile" "/home/spillman/pyprojects/elcrapo/result-logs/20250805/20250805_0225/wcx10.1.33_001_SEQUENTIAL__1G_1M_8T_1D__WCX10.1.33.txt" "--livecsv" "/home/spillman/pyprojects/elcrapo/result-logs/20250805/20250805_0225/wcx10.1.33_001_SEQUENTIAL__1G_1M_8T_1D__WCX10.1.33.live" "/mnt/Drives/12000b/benchmark_tests/data_testing/wcx10.1.33" 
2025-08-05T02:25:57.101-0400,001_SEQUENTIAL__1G_1M_8T_1D__WCX10.1.33,dir,1,1,8,1,1,1073741824,1048576,0,0,,1,,0,RMFILES,188,239,5,33,,,,,69,60,1,8,,,188141,211919,239035,,,,,,,,,,,,,,,,,,,,3.0-29,"/usr/bin/elbencho" "--label" "001_SEQUENTIAL__1G_1M_8T_1D__WCX10.1.33" "--write" "--read" "--trunctosize" "--cpu" "--lat" "--log" "0" "--timelimit" "900" "--no0usecerr" "--dirsharing" "--files" "1" "--dirs" "1" "--mkdirs" "--deldirs" "--delfiles" "--live1" "--livecsvex" "--liveint" "1000" "--iodepth=1" "--threads=8" "--block=1M" "--size=1G" "--csvfile" "/home/spillman/pyprojects/elcrapo/result-logs/20250805/20250805_0225/wcx10.1.33_001_SEQUENTIAL__1G_1M_8T_1D__WCX10.1.33.csv" "--resfile" "/home/spillman/pyprojects/elcrapo/result-logs/20250805/20250805_0225/wcx10.1.33_001_SEQUENTIAL__1G_1M_8T_1D__WCX10.1.33.txt" "--livecsv" "/home/spillman/pyprojects/elcrapo/result-logs/20250805/20250805_0225/wcx10.1.33_001_SEQUENTIAL__1G_1M_8T_1D__WCX10.1.33.live" "/mnt/Drives/12000b/benchmark_tests/data_testing/wcx10.1.33" 
2025-08-05T02:25:57.340-0400,001_SEQUENTIAL__1G_1M_8T_1D__WCX10.1.33,dir,1,1,8,1,1,1073741824,1048576,0,0,,1,,0,RMDIRS,0,0,91954,72072,,,,,0,0,8,8,,,7,28,52,,,,,,,,,,,,,,,,,,,,3.0-29,"/usr/bin/elbencho" "--label" "001_SEQUENTIAL__1G_1M_8T_1D__WCX10.1.33" "--write" "--read" "--trunctosize" "--cpu" "--lat" "--log" "0" "--timelimit" "900" "--no0usecerr" "--dirsharing" "--files" "1" "--dirs" "1" "--mkdirs" "--deldirs" "--delfiles" "--live1" "--livecsvex" "--liveint" "1000" "--iodepth=1" "--threads=8" "--block=1M" "--size=1G" "--csvfile" "/home/spillman/pyprojects/elcrapo/result-logs/20250805/20250805_0225/wcx10.1.33_001_SEQUENTIAL__1G_1M_8T_1D__WCX10.1.33.csv" "--resfile" "/home/spillman/pyprojects/elcrapo/result-logs/20250805/20250805_0225/wcx10.1.33_001_SEQUENTIAL__1G_1M_8T_1D__WCX10.1.33.txt" "--livecsv" "/home/spillman/pyprojects/elcrapo/result-logs/20250805/20250805_0225/wcx10.1.33_001_SEQUENTIAL__1G_1M_8T_1D__WCX10.1.33.live" "/mnt/Drives/12000b/benchmark_tests/data_testing/wcx10.1.33" 
